issued,describedByType,systemOfRecords,references,landingPage,title,theme,spatial,programCode,describedBy,description,language,isPartOf,bureauCode,contactPoint,accessLevel,publisher,keyword,license,rights,modified,accrualPeriodicity,dataQuality,distribution,identifier
2014-08-27,text/html,http://www.ams.usda.gov/AMSv1.0/getfile?dDocName=STELPRDC5108128.,['http://www.ams.usda.gov/AMSv1.0/getfile?dDocName=STELPRDC5108128'],,AMS FOIA REQUESTS RECEIVED,['FOIA'],Global,['005:047'],,"AMS began posting a report on its website of all of the incoming Freedom of Information Act requests received by the Agency.  The report includes the name of the requestor, the date the request was received, and a brief description of the information requested.",,,['005:45'],"{'hasEmail': 'mailto:AMS.FOIA@usda.gov', '@type': 'vcard:Contact', 'fn': 'Carrie Helmold'}",public,"{'@type': 'org:Organization', 'name': 'Department of Agriculture'}","['AMS Freedom Of Information Act', 'FOIA', 'Request Received']",https://creativecommons.org/publicdomain/zero/1.0/,Public,2014-07-31,R/P1M,True,"[{'downloadURL': 'http://www.ams.usda.gov/AMSv1.0/getfile?dDocName=STELPRDC5108128', '@type': 'dcat:Distribution', 'description': 'This report includes the name of the requestor, the date the request was received, and a brief description of the information requested.', 'mediaType': 'text/html', 'title': 'AMS FOIA REQUESTS RECEIVED'}]",USDA-0000
2012-03-28,,,['http://www.ams.usda.gov/AMSv1.0/LPS'],,AMS Market News Historical Annual  Summaries,,United States,['005:047'],http://www.ams.usda.gov/AMSv1.0/LPS,"The primary function of the AMS Market News Program is to compile and disseminate information that will aid producers, consumers, and distributors in the sale and purchase of agricultural related products nationally and internationally.",,,['005:45'],"{'hasEmail': 'mailto:WASH.LPGMN@AMS.USDA.GOV', '@type': 'vcard:Contact', 'fn': 'Rick Tanger'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['Beans', 'Beef', 'By-products', 'Calves', 'Cattle', 'Chicken', 'Duck', 'Eggs', 'Feeder Pigs', 'Feedstuff', 'Fowl', 'Goats', 'Grain', 'Grain Basis', 'Hay', 'Hogs', 'Lamb', 'Lentils', 'Offal', 'Peas', 'Pork', 'Rabbits', 'Retail', 'Sheep', 'Turkey']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-02-26,R/P1Y,,"[{'downloadURL': 'http://www.ams.usda.gov/AMSv1.0/MarketNewsandDataDotGov', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-35782
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,Barge Grain Movements,,US,['005:047'],,Table 10: Barge Grain Movements,,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/New%20Table10%20BargeMvmts.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5239
,,,,,"Brazilian Soybean Export Truck Transportation Weighted Average Prices, 2013/15",,,['005:047'],,Last three years monthly average costs of shipping a metric ton (mt) of Braziian soybeans per 100 miles by truck. This is figure 5 of the Brazil Soybean Transportation report.,,,['005:45'],"{'hasEmail': 'mailto:delmy.salin@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Delmy L. Salin'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service'}","['Brazil', 'exports truck index', 'soybeans', 'transportation cost', 'truck rates']",https://creativecommons.org/publicdomain/zero/1.0/,,2015-09-21,,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/Brazil_Qtr2_Figure_5.xlsx', '@type': 'dcat:Distribution', 'format': 'application/excel', 'mediaType': 'application/vnd.openxmlformats-officedocument.spreadsheetml.sheet', 'title': 'Brazilian Soybean Export Truck Transportation Weighted Average Prices, 2013/15'}]",usda-ams-2015-N028
,,,,,"Clone of Quarterly Costs Of Transporting Brazilian Soybeans From The Southern Ports To Hamburg, Germany",,,['005:047'],,"Quarterly total landed costs (truck and ocean) of shipping Brazilian soybeans through the ports of Santos, Paranaguá, and Rio Grande to Hamburg, Germany. This is table 4 of the Brazil Soybean Transportation report.",,,['005:45'],"{'hasEmail': 'mailto:delmy.salin@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Delmy L. Salin'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service'}","['Brazil', 'Germany', 'Goi\xc3\xa1s', 'Hamburg', 'Mato Grosso', 'Paranagu\xc3\xa1', 'Paran\xc3\xa1', 'Rio Grande do Sul', 'Santos', 'farm price', 'ocean rates', 'ports', 'soybeans', 'transportation cost', 'truck rates']",https://creativecommons.org/publicdomain/zero/1.0/,,2015-09-21,,,[],usda-ams-2015-N032
2013-04-26,,,['http://marketnews.usda.gov/'],http://marketnews.usda.gov/,Cotton Market News Search,,United States,['005:047'],,"The primary function of the Cotton Market News Division of the Cotton and Tobacco Program is to compile and disseminate information that will aid producers, consumers, and distributors in the sale and purchase of cotton  nationally and internationally.",,,['005:45'],"{'hasEmail': 'mailto:barbara.meredith@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Barbara Meredith'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['Cotton', 'Cotton Quality', 'carryover', 'extra long staple', 'linters', 'price', 'quality', 'upland', 'varieties planted', 'weekly market review']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1D,,"[{'downloadURL': 'http://marketnews.usda.gov/', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-26491
2013-04-26,,,['http://marketnews.usda.gov/'],,Dairy Market News Search,,United States,['005:047'],,"The primary function of the Dairy Market News Division of the Dairy Program  is to compile and disseminate information that will aid producers, consumers, and distributors in the sale and purchase of dairy products nationally and internationally.",,,['005:45'],"{'hasEmail': 'mailto:DonaldO.Nelson@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Don Nelson'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['Butter', 'Cheese', 'Cream', 'Dairy', 'Milk', 'Product Prices', 'butter', 'cheese', 'dry and fluid products', 'lactose', 'nonfat dry milk', 'whey']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1D,,"[{'downloadURL': 'http://marketnews.usda.gov/', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-26481
2012-04-13,,,['http://www.ams.usda.gov/AMSv1.0/ams.fetchTemplateData.do?template=TemplateL&navID=FindaMarketNewsreportDairyLandingPage&rightNav1=FindaMarketNewsreportDairyLandingPage&topNav=&leftNav=CommodityAreas&page=DairyMarketNews&description=Dairy+Market+News'],,Dairy Market News Search,,"United States, Europe, Ocenia",['005:047'],http://www.ams.usda.gov/AMSv1.0/ams.fetchTemplateData.do?template=TemplateL&navID=FindaMarketNewsreportDairyLandingPage&rightNav1=FindaMarketNewsreportDairyLandingPage&topNav=&leftNav=CommodityAreas&page=DairyMarketNews&description=Dairy+Market+News,"Dairy Market News covers the supply, demand, and price situation every week on a regional, national, and international basis for milk, butter, cheese, and dry and fluid products.",,,['005:45'],"{'hasEmail': 'mailto:DonaldO.Nelson@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Don Nelson'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['Butter', 'Butter Grade AA', 'CME', 'Cheese', 'Cheese Barrels', 'Dairy', 'Dry Milk Products', 'Dry Whey Products', 'Extra Grade', 'Fluid Milk and Cream', 'International', 'Market News', 'Milk', 'Nonfat Dry Milk Grade A']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-02-21,R/P1W,,"[{'downloadURL': 'http://marketnews.usda.gov/portal/da?&paf_gear_id=5300015&paf_dm=full&reportConfig=true&category=Cheese', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-6234
2010-10-01,,,['https://apps.ams.usda.gov/FarmersMarketsExport/ExcelExport.aspx'],,Farmers Markets Directory and Geographic Data,,United States,['005:047'],,"Longitude and latitude, state, address, name, and zip code of Farmers Markets in the United States",,,['005:45'],"{'hasEmail': 'mailto:DirectoryUpdates@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Edward Ragland'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['Baked Goods', 'Butter', 'Cheese', 'Crafts', 'Dairy', 'Direct to Consumer', 'Farmers Markets', 'Flowers', 'Fresh Fruit', 'Herbs', 'Honey', 'Local Food', 'Maple', 'Meat', 'Nuts', 'Organic', 'Plants', 'Prepared Food', 'Preserves', 'Processed Food', 'Seafood', 'Vegetables', 'Yogurt']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P0.33W,,"[{'downloadURL': 'http://www.ams.usda.gov/AMSv1.0/getfile?dDocName=STELPRDC5087258', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-4383
2013-01-05,,,['http://www.ams.usda.gov/AMSv1.0/getfile?dDocName=STELPRDC5091437'],,Food Hubs,,United States,['005:047'],http://www.ams.usda.gov/AMSv1.0/getfile?dDocName=STELPRDC5091437,"This is a list of food hubs that USDA's Agricultural Marketing Service had on record as of January 2013.  By offering a combination of production, aggregation, distribution, and marketing services, food hubs make it possible for producers to gain entry into new and additional markets that would be difficult or impossible to access on their own.",,,['005:45'],"{'hasEmail': 'mailto:James.Barham@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'James Barham'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['aggregation', 'distribution', 'food hub', 'food value chain']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-02-26,R/P1M,,"[{'downloadURL': 'http://www.ams.usda.gov/AMSv1.0/ams.fetchTemplateData.do?template=TemplateA&navID=WholesaleandFarmersMarkets&leftNav=WholesaleandFarmersMarkets&page=FoodHubsandOtherMarketAccessStrategies&description=Food%20Hubs%20and%20other%20Aggregation%20Models', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-26271
